# Medidas que faltan — 84 cajas
#
# Estas cajas tienen la gráfica máxima, el disipador y los radiadores REALES,
# pero sus dimensiones son una estimación por tipo de torre. Solo hace falta
# el dato de la caja montada, en milímetros:
#
#     largo (fondo) × ancho × alto
#
# Rellena después de la última barra y guarda. Ejemplo:
#
#     Corsair|4000D Airflow|453×230×466
#
# El volumen en litros se calcula solo, no hace falta.
# Si alguna no la encuentras, déjala vacía y se queda como está.
#
# marca|modelo|largo×ancho×alto

Antec|C6 Curve ARGB| 480 x 235 x 470mm
Antec|CX800 ARGB|(An x Pr x Al)302 x 435 x 390 mm
Antec|FLUX PRO| 530 x 245 x 545 mm
Antec|FLUX PRO Noctua Edition|245x545x530 mm
Antec|P10C Silent| 477 x 220 x 486 mm (LxAxA)

ASUS|ROG Strix Helios II GX601S|250 x 565 x 591 mm

be quiet!|Light Base 500|305 x 432 x 436 mm
be quiet!|Pure Base 500|Ancho, 232 mm. Profundidad, 450 mm. Altura, 443 mm
be quiet!|Pure Base 500 FX|450 x 232 x 463 mm

Cooler Master|MasterBox 600 RGB|Ancho: 230 mm; Profundidad: 474 mm; Altura: 481 mm;
Cooler Master|MasterFrame 360 Stage LCD|Ancho: 29,1 cm x Altura: 58,1 cm x Profundidad/longitud: 54,9 cm
Cooler Master|MasterFrame 360 Stage Mirror|549 x 291 x 581 mm

Corsair|3000D RGB AIRFLOW|Case Height 466mm  Case Length 462mm     Case Width 230mm
Corsair|AIR 5400 LX-R RGB|Case Height 467mm  Case Length 470mm     Case Width 340mm
Corsair|AIR 5400 RS-R ARGB|Case Height 467mm  Case Length 470mm   Case Width 340mm

DeepCool|CG330 3F|285 x 420 x 368 mm
DeepCool|CG530 4F|440×285×399mm(L×W×H)
DeepCool|CG530U 4F|475 x 285 x 380 mm
DeepCool|CH170 PLUS|195 mm x 424,5 mm x 290 mm
DeepCool|CH560 ARGB|458×230×471mm(L×W×H)
DeepCool|CL660|457.5×235×533.5mm(L×W×H)
DeepCool|CL6600|457.5×235×533.5mm(L×W×H)
DeepCool|MORPHEUS|528×250×551mm(L×W×H)

Evolveo|Xenon| 420 × 204 × 355 mm

Fractal Design|Define 7 Nano|399 x 205 x 361mm
Fractal Design|Epoch TG|447 x 215 x 469 mm
Fractal Design|Epoch XL|Dimensiones (AnxPrxAl)	240 x 503 x 509 mm
Fractal Design|Meshify 2 Compact Lite|Ancho: 210 mm  Profundidad: 424 mm  Altura: 475 mm
Fractal Design|Meshify 2 Compact RGB|Ancho: 210 mm · Profundidad: 424 mm · Altura: 475 mm
Fractal Design|Meshify 3|245 x 575 x 515 mm
Fractal Design|Meshify 3 Ambience Pro RGB|433 x 229 x 507mm
Fractal Design|Pop 2 Air|215 mm x 481 mm x 462 mm

FSP|U530-BS|473 x 230 x 490mm

GameMax|N90| 240,5 mm x 439 mm x 530 mm

Genesis|Diaxid 605 ARGB|217 mm de ancho, 420 mm de profundidad y 466 mm de altura
Genesis|Irid 505 V2|(An x Pr x Al), 220 x 447 x 510 mm

Hiditec|H2 AIR ARGB|510 x 215 x 415 mm (Al x An x Pr)

Jonsbo|D31 STD|205 x 440 x 363 mm

Lian Li|LAN207DX| Longitud / Profundidad. 455,6 mm. Ancho. 219 mm. Altura. 456 mm.
Lian Li|Lancool 205M Mesh RGB|210 mm (ancho) x 415 mm (profundidad) x 400 mm (alto)
Lian Li|Lancool 206|462 mm (D) x 220 mm (An) x 488.2 mm (Al)
Lian Li|O11 Vision-M|419,6 mm de profundidad x 275,1 mm de ancho x 395,2 mm de alto

Mars Gaming|MC-3TCORELCD|440x286x401mm
Mars Gaming|MC-AIR|Ancho, 202 mm. Profundidad, 380 mm. Altura, 452 mm
Mars Gaming|MC-NOVAM|Ancho-27.5 Alto-31 Largo-33.5cm
Mars Gaming|MC51W| 215 mm de ancho, 550 mm de profundidad y 505 mm de altura

Modecom|Volcano Stellar 5F ARGB|235 mm x 472 mm x 445 mm

Montech|XR|Longitud / Profundidad. 435 mm. Ancho. 230 mm. Altura. 450 mm.

MSI|MEG MAESTRO 700L PZ|470 x 300 x 474 mm

Nox|Hummer ASTRA NEO|295 x 388 x 433 mm (W x H x L).
Nox|Hummer BLADE ARGB|245 mm x 486 mm x 520 mm
Nox|Hummer ETHER|	230 mm x 415 mm x 470 mm
Nox|Hummer Signal ARGB|221 mm de ancho x 486 mm de fondo x 459 mm de altura
Nox|Hummer TGX Rainbow RGB|235 x 515 x 500 mm (AN x AL x PR)
Nox|Hummer Vision|487 x 212 x 346mm
Nox|Hummer ZX|Ancho 200 mm   Profundidad 502 mm   Altura 486 mm
Nox|Infinity Epsilon ARGB|20,5f. x 38,5an. x 42,5al. centímetros
Nox|Infinity IOTA ARGB Mesh|220 mm x 370 mm x 446 mm
Nox|Infinity Zeta ARGB|385 x 205 x 425mm

SilverStone|GD10| 442mm (W) x 171mm (H) x 362mm (D)
SilverStone|SG17| (al. × an. × pr.) 286 mm × 202 mm × 451 mm

